Name,Score
hsa-mir-19a,-0.0917797237461815
hsa-mir-19b-1,-0.0897901331624547
hsa-mir-19b-2,-0.083290152723563
hsa-mir-203,-0.0394389383030644
hsa-mir-204,-0.0330005801021313
hsa-mir-20a,-0.092506901841073
hsa-mir-210,-0.0548880144050412
hsa-mir-2110,-0.0470094248304298
hsa-mir-2115,-0.03443802713599
hsa-mir-2116,-0.0621877186370002
hsa-mir-212,-0.0459366590009672
hsa-mir-216a,-0.0471590486645631
hsa-mir-217,-0.0304552420979921
hsa-mir-219-1,-0.040160208999429
hsa-mir-219-2,-0.0453531376945775
hsa-mir-221,-0.0689472477231087
hsa-mir-222,-0.0733367567885812
hsa-mir-223,-0.0812568693333425
hsa-mir-224,-0.103767197195051
hsa-mir-2277,-0.0475530407139261
hsa-mir-2355,-0.0600809563694669
hsa-mir-23a,-0.0677016789719228
hsa-mir-24-1,-0.0456043905226396
hsa-mir-24-2,-0.0809172188768016
hsa-mir-25,-0.0644202324750713
hsa-mir-27a,-0.0626236145110313
hsa-mir-27b,-0.0322742771940769
hsa-mir-28,-0.0818891190028303
hsa-mir-29a,-0.0447605075668952
hsa-mir-29c,0.0694574810570474
hsa-mir-301a,-0.0532519212755394
hsa-mir-301b,-0.0827743334135825
hsa-mir-30c-1,-0.0674424208192788
hsa-mir-30e,-0.0961025758902665
hsa-mir-31,-0.0668646098242777
hsa-mir-3117,-0.0580367432865951
hsa-mir-3129,-0.040976463690994
hsa-mir-3136,-0.0611701435245025
hsa-mir-3150b,-0.055565776800591
hsa-mir-3157,-0.0503855919450733
hsa-mir-3158-2,-0.0504646137840003
hsa-mir-3170,-0.0590411040141397
hsa-mir-3173,-0.0589103899016316
hsa-mir-3174,-0.049840240218259
hsa-mir-3187,-0.0513614333637202
hsa-mir-3191,-0.0309112086917983
hsa-mir-3199-1,-0.0563055833770615
hsa-mir-3199-2,-0.0593339646792882
hsa-mir-32,-0.0492380081000267
hsa-mir-3200,-0.060965732948731
hsa-mir-320c-1,-0.045248783486981
hsa-mir-320c-2,-0.0416493250682673
hsa-mir-320d-1,-0.0367754472796678
hsa-mir-324,-0.0599696878092218
hsa-mir-329-1,-0.0415242767727216
hsa-mir-329-2,-0.0346647004423769
hsa-mir-330,-0.0406276675970494
hsa-mir-33a,-0.0576404880840364
hsa-mir-340,-0.0621659833656435
hsa-mir-342,0.0508717605004222
hsa-mir-345,-0.0568681061339016
hsa-mir-3605,-0.0406551799006628
hsa-mir-361,-0.0331846774476323
hsa-mir-3613,-0.0445994456678938
hsa-mir-3614,-0.0360178804271462
hsa-mir-3619,-0.038334028828926
hsa-mir-362,-0.0697628732473884
hsa-mir-3620,-0.0682039902726189
hsa-mir-3647,-0.0726732089328053
hsa-mir-3648,-0.0567895673419929
hsa-mir-3651,-0.0569177053692894
hsa-mir-3652,-0.0427411786466796
hsa-mir-3653,-0.0331574562262374
hsa-mir-3662,-0.0443809772260414
hsa-mir-3664,-0.0536513035688093
hsa-mir-3677,-0.0329855947734305
hsa-mir-3682,-0.0854025413362866
hsa-mir-3687,-0.0501432356492475
hsa-mir-3690,-0.0414834573724057
hsa-mir-372,-0.0333838012795824
hsa-mir-374a,-0.0683101179919608
hsa-mir-374b,-0.0574270707011083
hsa-mir-374c,-0.0329039572013016
hsa-mir-375,0.0788671754332032
hsa-mir-376a-2,-0.0489595545005084
hsa-mir-378,-0.0998473988191214
hsa-mir-378c,-0.0716823197185523
hsa-mir-380,-0.0334261424124407
hsa-mir-3909,-0.0574042898948218
hsa-mir-3917,-0.0406195889916853
hsa-mir-3922,-0.0668200443264557
hsa-mir-3928,-0.0384605456328456
hsa-mir-3934,-0.0599460250276245
hsa-mir-3940,-0.0387509800318936
hsa-mir-3941,-0.0533431033143692
