Name,Score
TUBA4B|80086,-0.06558482468985456
C10orf81|79949,-0.03631204358910924
LOC554202|554202,-0.036301188295539404
HOXC10|3226,0.036299379293112014
FSD1|79187,-0.03626268211003658
IRX2|153572,0.03616217671746815
HOXD13|3239,-0.036062273721816945
RERG|85004,0.03602850723183737
PTPLA|9200,-0.03600210449174883
CCDC48|79825,-0.03596551311101669
KLK1|3816,-0.03588524960524232
MYOZ3|91977,-0.0358682682663191
MCCD1|401250,-0.03585379719624166
ODZ1|10178,-0.03584975172934906
ARMC4|55130,0.0357802246477818
TMEM84|283673,0.035633748847292944
MYOZ1|58529,0.03562894708980601
ETV4|2118,0.03558096495245497
KLHL14|57565,-0.035563556309502364
S100A1|6271,-0.03548944508592313
KCNK5|8645,-0.03548694519235256
KLRC2|3822,-0.035433445292210534
