,u2_1
182,-0.02617188002699796
183,-0.019254884916129623
184,0.020741915422654564
185,-0.008613553973128752
186,-0.027313480001879616
187,-0.025025316092509218
188,-0.013623579763061893
189,-0.019135508303869647
190,-0.022030856336386656
191,-0.004166388662028268
192,-0.02284411305876487
193,-0.015440334538624851
194,-0.023418515945384372
195,0.01472887842658402
196,-0.011451512157998374
197,-0.018391596698485883
198,-0.008908145557444694
199,0.03591523995487194
200,0.030050198896847295
201,-0.014533263319770461
202,-0.024022629281371676
203,-0.01605825112978444
204,0.0008288957603621891
205,-0.003787750936120663
206,-0.0106464704476832
207,0.025860624620106704
208,-0.00857209400176529
209,0.004976046813311235
210,-0.022911221690850834
211,0.018671078017257845
212,0.012021299406516757
213,0.029729080300108974
214,-0.02365259749308094
215,-0.02057335672579922
216,-0.025701999403034526
217,-0.02134487262217635
218,0.015903455624523756
219,-0.007339061106748209
220,-0.02151560470373948
221,-0.017328317554048497
222,-0.006270090461960739
223,0.006231193152427293
224,0.029928699983866804
225,-0.004798939525179701
226,0.009432257913046705
227,0.01481027593973493
228,-0.010167268735299405
229,-0.015686380820440157
230,-0.01683324046541713
231,-0.0031959325038914284
232,-0.007950932023849968
233,0.006648087070875478
234,0.005511145861704006
235,-0.020253184737473715
236,-0.02444847926525069
237,-0.003269902407904393
238,-0.01737350647187597
239,0.0
240,-0.017089211235636254
241,0.005201254685959544
242,-0.025142684325114115
243,0.003890393333468375
244,-0.026184696909301808
245,0.0014077041590069602
246,-0.019356492415412384
247,-0.00033584043527403986
248,-0.020545728667493005
249,-0.021097916172060076
250,-0.012039407180770009
251,0.010828441825323075
252,-0.0063195404549940245
253,-0.0163864719185996
254,-0.0012939832011752605
255,-0.02056942505794126
256,-0.021842730390419604
257,0.03193711949089373
258,-0.026828639800829394
259,-0.02063959863993536
260,-0.005415971485676901
261,-0.026974386570268096
262,-0.01891957455678657
263,-5.967375302938796e-05
264,-0.02643581369934376
265,-0.022589794256079352
266,-0.01636413311153706
267,-0.00782112437089779
268,-0.008274044757232233
269,-0.011584321451545079
270,-0.016625117893624947
271,-0.01579640257102458
272,-0.02530251160777308
273,-0.024806395140222093
274,-0.00032099317998287555
275,0.019245647206807763
276,-0.015143502098837648
277,-0.022416765476962097
278,-0.007503631388511442
279,-0.02537200629582641
280,0.011889638339086022
281,0.0029768201940776366
282,-0.005196505806403286
283,0.0035548423271938175
284,-0.02510671322751941
285,-0.017022686631451532
286,-0.025154610152245623
287,-0.015378270068852154
288,-0.022251402432096046
289,0.0
290,-0.017630031306216255
291,-0.002166424543734413
292,-0.0163030497356093
293,-0.009411338372530048
294,-0.016587977156344844
295,-0.012001320422193346
296,-0.023289064122607263
297,0.005921690570337369
298,-0.020374927236794807
299,0.011246821203901242
300,-0.01589821746918149
301,0.021010417075031318
302,-0.022675453305816645
303,0.024152015725261385
304,-0.009511982890244276
305,-0.013256904448463442
306,-0.011438189113017784
307,0.0
308,-0.011428640817654658
309,-0.017473786858680684
310,-0.024606100453490164
311,-0.001257657025807694
312,-0.00432298139602238
313,-0.027178343080213975
314,-0.02355684931258508
315,0.011819656606316781
316,0.00797446593237054
317,-0.01444831730098543
318,0.0
319,0.04422375103757131
320,-0.013219396184630713
321,-0.024837669560408327
322,-0.004094159696869917
323,-0.025785970811561833
324,-0.0024062113823431833
325,-0.018787597280756126
326,-0.022924666829233956
327,0.004168703521256374
328,-0.015172895657946103
329,-0.027441133754951046
330,-5.967138251863764e-07
331,-0.019203919603776896
332,-0.01562126096795763
333,0.015349032235763132
334,0.0
335,-0.025407461619626707
336,-0.016011580802151565
337,-0.0019923805505189045
338,-0.0062738382811141835
339,-0.020835072634134786
340,-0.015089124682831545
341,-0.01881057349957404
342,0.004009865327151263
343,0.0014767662802375337
344,-0.005228066942991175
345,-0.008244833306386676
346,-0.017248660832807624
347,-0.02328593183135036
348,0.0022996138146026378
349,-0.02165468862484351
350,-0.01821989595481291
351,0.024484831698986236
352,0.03859541571559511
353,-0.010385214842806193
354,0.013730392947274506
355,-0.02068018678752763
356,-0.022352363674011867
357,-0.018556992075529393
358,-0.004743584007999097
359,-0.02065489173050712
360,-0.0029198469615174705
361,-0.01780083521841637
362,-0.017347547254289296
363,-0.009138356870268748
364,-0.008552019207332184
365,0.018762374203571918
366,0.0025038068145669663
367,0.007716599985231594
368,-0.020518024822629315
369,-0.006866343485069389
370,-0.02373797246028052
371,-0.015291293473641799
372,-0.018268202520224663
373,-0.002714870819848114
374,-0.018436209994803207
375,-0.022969340916603142
376,-0.024163166989042948
377,-0.01837442333070947
378,-0.01919245894344435
379,-0.002716136592697956
380,-0.026990148059320915
381,0.009340193492169403
382,-0.025823193992514846
383,-0.025413202538166934
384,-0.005448442621579322
385,-0.014473684543226286
386,0.028003449669114375
387,-0.010066700314537274
388,-0.012106482947213526
389,0.0
390,0.0
391,-0.022930124364759413
392,0.018919545121859255
393,0.015294401972098226
394,-0.016191637540348528
395,0.0
396,-0.02288531897599308
397,-0.02004826256238368
398,-0.008995533890536393
399,0.0006776126091318219
400,-0.02434555366670075
401,-0.012631399527378458
402,-0.022620300494697373
403,-0.01648736191217327
404,-0.023336706023259577
405,0.013209464934235901
406,-0.017644734342852693
407,0.0036205764606805886
408,0.05639428750855353
409,-0.016760565172790592
410,-0.02318382906023335
411,-0.015127297812584258
412,-0.01915228529336292
413,-0.02044569372978286
414,-0.009382664467796264
415,-0.006728772003629301
416,-0.026111931685172816
417,-0.0002461461132101476
418,-0.023948108533897124
419,-0.003796756182574549
420,-0.0001210583671317889
421,-0.0037899355919960745
422,2.3799194081016873e-05
423,-0.004687816730158544
424,-0.015311070222494377
425,-0.013994826940039173
426,-0.006915889569693561
427,0.0051365225298151
428,-0.02752344879275402
429,-0.02565169942905298
430,0.01276379194977367
431,-0.0006256792865790528
432,-0.017689426478169797
433,-0.0002615964906837229
434,-0.022447262451872722
435,-0.014113819210371541
436,0.010005180550703789
437,0.006963495729052071
438,-0.0019799667121177577
439,-0.0028559759035342988
440,-0.009286847378582895
441,-0.018413246903245205
442,-0.0032915323508483033
443,-0.014070410648589616
444,-0.011802542031476546
445,-0.011601640360047278
446,0.0023422543060426276
447,-0.02170564983081669
448,-0.021354595831662267
449,0.004902576366480575
450,-0.01534144603827195
451,-0.020680924797083798
452,0.0022349316776859324
453,0.01447537178677035
454,0.0
455,-0.02045747708062704
456,-0.015996253747797364
457,-0.017395599344803378
458,0.0
459,-0.012970732300948199
460,-0.008474320775031413
461,-0.005012880476297052
462,-0.020192531762964268
463,-0.004952176728785258
464,-0.013519433814047034
465,0.007332567837725436
466,-0.016635751916576572
467,-0.003596998141135643
468,-0.024661799480341945
469,-0.02510325808169786
470,-0.004952377763538154
471,0.005701536810613992
472,-0.0038580789973474442
473,-0.018923253709000044
474,-0.02260977087357925
475,-0.0020512470508311956
476,-0.013458191582896822
477,-0.004452663774655528
478,0.02752539937171994
479,-0.018846558699573867
480,-0.02261812894369981
481,0.018241688741028193
482,0.005366363445711252
483,-0.01342588295092875
484,-0.024530766018852197
485,0.006741946912816498
486,-0.01962088682877796
487,-0.008036599956610378
488,-0.020831716876149733
489,0.000440987635294815
490,-0.0011289854235887937
491,0.006865016435703116
492,-0.025666566011463443
493,-0.02375555656889377
494,-0.004422710339129142
495,-0.01238929774775336
496,-0.010907424244183476
497,-0.025591099140037044
498,-0.022348113442847203
499,-0.02260146198631597
500,-0.00018902640512718063
501,-0.020786918818763284
502,0.0
503,-0.024598680140534384
504,-0.017714209418995326
505,-0.005690066188160929
506,-0.01691815936430214
507,-0.014497956733668566
508,-0.013683014744948043
509,-0.018030271567467886
510,0.008321759335599577
511,-0.02310338772711432
512,-0.019073532843896162
513,0.02109746217534557
514,-0.024826973397739486
515,-0.016946367563982365
516,0.014634710734534295
517,-0.022112922006916585
518,-0.0022410079281604345
519,-0.01654710513846604
520,0.006340281296830083
521,-0.019245104487265845
522,-0.003801057541840202
523,-0.009084334785762033
524,-0.013868687876245074
525,0.016500306335819514
526,-0.021420557315232878
527,-0.009201314277232666
528,0.0037232622649922458
529,-0.01802480696399023
530,-0.02152279967756027
531,-0.0013704120279387274
532,-0.0011214772250399856
533,-0.026213517361511268
534,-0.01165139063877391
535,-0.022630830035261378
536,0.009282889904452153
537,-0.024170903139671508
538,-0.025286101490982874
539,-0.01535709109388234
540,-0.014382882211161446
541,-0.01198819075342767
542,0.02015383178051313
543,-0.016856096056359373
544,-0.00977450893082258
545,-0.010700678781388926
546,0.0018107536176898357
547,0.0018737145866485388
548,-0.012512525611065249
549,0.011547981049955372
550,-0.016429765822389125
551,-0.025584236950295762
552,-0.018678250537402203
553,-0.023248420133185482
554,0.024908609466745012
555,-7.599409506169558e-07
556,-0.023626566494160454
557,-0.009332196660851017
558,-0.011757704687036321
559,-0.010623633787432437
560,-0.019441153597005423
561,-0.0002116565724526424
562,0.00013330919243128135
563,-0.02047549809357351
564,-0.023826543511695334
565,-0.02124761427372234
566,0.008690872779935964
567,-0.0007630915747258257
568,-0.006996085637842477
569,-0.00933292480166821
570,-0.009734166558379276
571,-0.014977826045377517
572,-0.024661031798926477
573,-0.025769248644879637
574,-0.019892084948410965
575,-0.018754441682057102
576,-0.005859834820955444
577,-0.01897062642645523
578,-0.01582761483644575
579,-0.02477124142127048
580,-0.004966244192745518
581,-0.0004797956303154237
582,-0.02454037176188766
583,-0.02263823038643854
584,-0.00024942713966038046
585,0.0
586,-0.012139947323022352
587,-0.021595799317839757
588,-0.02296414963007893
589,0.013058024158014166
590,-0.008686348069526123
591,-0.007021768188439616
592,-0.020886022337892187
593,-0.015743981911765535
594,-0.023458400697769763
595,-0.027110485569187902
596,-0.00041666008853206006
597,-0.024488610423010815
598,-0.0005923550351338587
599,-0.005357160820514232
600,0.0032022629462964956
601,-0.005955881286530917
602,0.03146327555064391
603,-0.022889050200993324
604,-0.018248925342561985
605,-8.970450283587342e-06
606,-0.0038594733782864334
607,-0.023596489884240828
608,0.01220528826793406
609,-0.02420369213913958
610,-0.004485847955879401
611,-0.014904712012813395
612,0.03327909617977518
613,0.0050467863932184606
614,-0.019121502939732662
615,0.008392862566613351
616,-0.02532877887582355
617,-0.018086941732659102
618,-0.019562357785948014
619,-0.002189823395318585
620,0.027461900667885487
