,0
186,3.5576261208746066e-14
187,3.5599131549345215e-14
188,3.583454882074302e-14
189,3.595440094040852e-14
190,3.5996021965967835e-14
191,3.600233959321282e-14
192,3.6049231578556755e-14
193,3.6144525275003775e-14
194,3.6380670123177656e-14
195,3.6439368148783396e-14
196,3.663041936834279e-14
197,3.672577693922912e-14
198,3.6780885206533706e-14
199,3.690566214435986e-14
200,3.704570035939575e-14
201,3.7095710563936186e-14
202,3.715178035886653e-14
203,3.718251437737013e-14
204,3.746867165939956e-14
205,3.863782051399045e-14
206,3.871171622665943e-14
207,3.872827835549497e-14
208,3.8891366673931696e-14
209,3.897798945959142e-14
210,3.944849649532153e-14
211,3.9530526442249847e-14
212,3.9553674749581205e-14
213,3.9599318233884005e-14
214,3.9707721160867566e-14
215,3.972047715393614e-14
216,3.996755934566142e-14
217,4.027369467739548e-14
218,4.030032327267238e-14
219,4.0710250350941015e-14
220,4.071112356731725e-14
221,4.098402530860747e-14
222,4.114824212677778e-14
223,4.125419671408434e-14
224,4.1342246277562316e-14
225,4.156434234050511e-14
226,4.1689438494135545e-14
227,4.1863261408649296e-14
228,4.201052228529904e-14
229,4.2270324354593795e-14
230,4.231338558962223e-14
231,4.281277339703061e-14
232,4.289689998770111e-14
233,4.331418784735605e-14
234,4.334163718994072e-14
235,4.334800089187086e-14
236,4.3424445581054616e-14
237,4.349991042147614e-14
238,4.364823420922193e-14
239,4.3717209871325944e-14
240,4.380805426487638e-14
241,4.394362418708028e-14
242,4.400059258291748e-14
243,4.400633326177981e-14
244,4.4021292119558186e-14
245,4.40542313638332e-14
246,4.4172143839004996e-14
247,4.449713996123253e-14
248,4.456353985425811e-14
249,4.460605908642938e-14
250,4.4626610608928895e-14
251,4.466268531930807e-14
252,4.469145777754736e-14
253,4.479183385174314e-14
254,4.485611035811846e-14
255,4.4975718675925725e-14
256,4.504053672370273e-14
257,4.509053335172368e-14
258,4.5130143970018494e-14
259,4.52094465251231e-14
260,4.536917756342937e-14
261,4.5719124864535334e-14
262,4.5737067448954184e-14
263,4.5744191744200434e-14
264,4.586611211902324e-14
265,4.593071687517264e-14
266,4.60401114390457e-14
267,4.621116186898881e-14
268,4.6231818924487094e-14
269,4.6348316956579865e-14
270,4.644103596116673e-14
271,4.652336323467744e-14
272,4.671667587797773e-14
273,4.6724411779901335e-14
274,4.6861102609917583e-14
275,4.686511660211111e-14
276,4.6978268699462973e-14
277,4.714511903614912e-14
278,4.7354250167006076e-14
279,4.79594109356864e-14
280,4.819849304806876e-14
281,4.830402689959015e-14
282,4.832099820713772e-14
283,4.842732023937258e-14
284,4.844370679487028e-14
285,4.8533400904879293e-14
286,4.877337526675202e-14
287,4.9090084256962207e-14
288,4.910253978524007e-14
289,4.918301762552994e-14
290,4.92290936662908e-14
291,4.941481257722122e-14
292,4.942222447299669e-14
293,4.9435135500099577e-14
294,4.967360396491611e-14
295,4.9710752911563285e-14
296,4.985390316725277e-14
297,4.99514394611309e-14
298,5.011159289187948e-14
299,5.015232288153248e-14
300,5.049925361273994e-14
301,5.14280052784386e-14
302,5.1512619803265e-14
303,5.1663919706601726e-14
304,5.179994470051806e-14
305,5.18032417886718e-14
306,5.2073487568640655e-14
307,5.210512529851128e-14
308,5.233461623178175e-14
309,5.256510225688315e-14
310,5.260200598225104e-14
311,5.283822061382851e-14
312,5.2861992283282415e-14
313,5.2893794995876284e-14
314,5.2918599756645646e-14
315,5.295021781577237e-14
316,5.297016399807521e-14
317,5.302765200086891e-14
318,5.331795013883084e-14
319,5.337351793865897e-14
320,5.363174418488753e-14
321,5.363306420409334e-14
322,5.377375837037886e-14
323,5.384281458328209e-14
324,5.392654403957314e-14
325,5.398794479616881e-14
326,5.399546646968926e-14
327,5.402610180185624e-14
328,5.451512769844217e-14
329,5.460552063644834e-14
330,5.4628990094675364e-14
331,5.4907360353158454e-14
332,5.496731205000541e-14
333,5.497096245323722e-14
334,5.520113302490026e-14
335,5.525936142229246e-14
