"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
0.252880802596042,0.0854410386680876,-0.80573602044193,0.0614716551716972,-0.0748547763627019,-0.0453375304597941,-0.0133736439089042,0.147521216002119,-0.0816894718011591,-0.0329486410826869,0.112500257709183,-0.053981100740088,-0.103295881697282,-0.039207623632855,0.146315576944782,0.181895176884537,-0.122645981310146,-0.203890779228927,-0.0806631244505339,0.0277786759216926,0.0446275838594882,-0.00417251458148973,-0.0548706779262378,0.127731562297824,0.0584085813842158,0.157761608879727,0.0703080564348545,0.0622030690460427,-0.13535375683279,-0.124382793438436
0,0.0325115689146393,0.223825331312478,-0.630964094538743,0,0.0573715721782134,0,0,0,0.0928455735305328,-0.36728489414269,0.0339317660228575,-0.32559281932302,-0.00175158411554003,0.0101375862916278,0,0.0216433938100902,-0.103753333167142,0,0.142866648691505,0,0.251932017984268,0,0.041042563134451,0.0354346491683845,0.186608547002202,0.0705232609493656,0.0135203630639937,-0.306933538144766,-0.253792152041613
0.0275207205039426,0.0139749696399301,0.0145525248556025,-0.01718093090401,0.789806433825961,0.141554926945114,-0.0875923763869602,0.121628550141594,-0.0821443585209915,0.0700691914169512,-0.203548275862022,0.138801113846,-0.306895097637936,-0.0282508952346154,-0.0755600394946481,-0.0818883609384865,-0.0238267463837234,-0.14386061126766,0.0900188931015978,0.013111417827452,0.0136950651533328,-0.108130891885937,0.0547167132249116,-0.0574513861164233,0.0824591950546437,-0.0668629115345227,-0.144141063291584,-0.066073883628049,0.151441874172768,-0.213141053297407
0,-0.0351719912299092,0.179545699159455,0,0.882204424559936,-0.0471973910300865,0,-0.185581163079398,0,0,0.0545919336408425,-0.105457356657629,0,0.090850195948279,0,0.0364453351758842,-0.133316577757976,0.124625030573731,-0.0115464716185557,0,-0.130303723594019,0.104188933394927,-0.0150258194559546,-0.00650454575796877,0.0737999133580549,-0.229103133004991,0.0577173038423751,0,0,0.0712996696801186
0,0,0,0,0,0,0,0,0,0,0,-0.240418302482229,0,0,0,0,0,0,0.104864228996077,0,0,0,-0.964977225035166,-0.00463556599054608,0,0,0,0,0,0
0.201993354918944,0,-0.0227494345985965,0,0,-0.301959714266521,-0.107744849288232,0.159136453367408,0,0,0,0.42957265280589,-0.443521299535909,0,0.0455793073957015,0,-0.160947692031254,-0.143463345303734,-0.220912340423554,0.354586033451456,0.307252288021617,-0.169218693754887,0.254434889863538,0,0,-0.196090231004902,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
0,0.975182513119679,0,0.0516339401750026,0,0,0,0,0,0,0,0,0.0139418964057495,0,0,0,0,0,0,0,0,0,0.0715586172092603,0.202578355594326,0,0,0,0,0,0
0.43031868344498,0.367026274611699,0,0,0,0,0,0,0,0,0,0,-0.00779008673297984,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.824655600218375,0,0,0
0,-0.351154590953535,0.0414211191198132,0.0699960863066353,0.0198880522663328,0.162271582077655,-0.105184971161105,0.124558597207097,-0.0149135359702695,-0.201156137958033,-0.0534985206222106,0.215447300359275,0.115875066025038,0,0,-0.0552866608307076,0.00321930054354673,-0.174245854954152,0,0.0761305450340923,0.0701216166269177,0.167902149504318,-0.346170701059105,0.227209675612472,-0.415344951194037,0.0582439955565036,-0.357823382514493,0,0,0.406993509078818
0,0,0,0,0,0,0,0,0,0,-0.0394393364478369,0,-0.375389075385474,-0.878568733491937,0,0,0,0,-0.288746051037525,0,0,-0.0476474486452655,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.0174209363085989,-0.824135905652908,0.0161777501983278,-0.100281825692767,0.160002543162891,-0.0372814983035779,-0.171126831135538,-0.134104749283964,0.0581794260796548,0,-0.0986236011043526,0,0,0.187199183938514,0,0.123298384721708,0.100163336304831,0,-0.0322615823187071,0,0.164318492853713,-0.00357695449488796,0,0.0397151084800756,-0.108479801395462,0,-0.15087920235071,0.309116694678201,0,0.0530281265647193
0,-0.0982415564917134,-0.0196254957259028,0,-0.930080720779592,-0.0590716957118303,0,0.0624884509633253,-0.112704086310458,-0.0631644896619009,0.151359582357191,0.00449771357439116,0.0210451426944023,0,0,-0.0882673315152518,0,0.114435116383075,-0.0582852772935973,0.104449880242148,0.0365608179015608,0.157201027924129,0,-0.122909804845791,0.0200854359582104,0.00494237436501538,-0.0256238394505198,0,0,-0.00454144986606579
