,Methods,Scenario,n,type,Values,std
94,KSSHIBA,Nonlinear,50,MCC,-0.004738272334333282,8.673617379884035e-19
95,SNGCCA,Nonlinear,50,Specificity,0.986251704448876,0.012372377074317334
96,SNGCCA,Nonlinear,50,Precision,0.8739999999999999,0.1138790781682239
97,SNGCCA,Nonlinear,50,Recall,0.9725969226851581,0.08044879101233116
98,SNGCCA,Nonlinear,50,FS,0.9179875566642809,0.09031944578167632
99,SNGCCA,Nonlinear,50,MCC,0.9128711523820074,0.09734453344792525
100,RGCCA,Linear,80,Specificity,1.0,0.0
101,RGCCA,Linear,80,Precision,1.0,0.0
102,RGCCA,Linear,80,Recall,0.1338677320150142,0.008906819062598775
103,RGCCA,Linear,80,FS,0.23601703007537606,0.013851648702118222
104,RGCCA,Linear,80,MCC,0.27536736265361544,0.017274154138695326
105,SGCCA,Linear,80,Specificity,0.9989665860110872,0.004352203191472185
106,SGCCA,Linear,80,Precision,0.9926666666666667,0.031119840045290142
107,SGCCA,Linear,80,Recall,0.12113055225694119,0.009749568359700674
108,SGCCA,Linear,80,FS,0.21581830006266575,0.015942731570569527
109,SGCCA,Linear,80,MCC,0.24739774773109463,0.026923749566686486
110,DGCCA,Linear,80,Specificity,0.9148347442525855,0.021169963452630502
111,DGCCA,Linear,80,Precision,0.5333333333333333,0.12328828005937952
112,DGCCA,Linear,80,Recall,0.05052467505248707,0.011107931165789314
113,DGCCA,Linear,80,FS,0.09229573005123516,0.02036115243510912
114,DGCCA,Linear,80,MCC,-0.06797500884709166,0.06305817711220561
115,KSSHIBA,Linear,80,Specificity,0.9367088607594936,1.1102230246251565e-16
116,KSSHIBA,Linear,80,Precision,0.6666666666666669,2.220446049250313e-16
117,KSSHIBA,Linear,80,Recall,0.06211180124223602,6.938893903907228e-18
118,KSSHIBA,Linear,80,FS,0.11363636363636367,2.7755575615628914e-17
119,KSSHIBA,Linear,80,MCC,-0.0022894327276717884,0.0
120,SNGCCA,Linear,80,Specificity,0.9993447430319895,0.004376672008229374
121,SNGCCA,Linear,80,Precision,0.99,0.06757711644237764
122,SNGCCA,Linear,80,Recall,0.941656961030026,0.0755877271297963
123,SNGCCA,Linear,80,FS,0.963513851001321,0.06708380714811722
124,SNGCCA,Linear,80,MCC,0.9623312382629544,0.0679727661858475
125,RGCCA,Nonlinear,80,Specificity,0.9342490675178976,0.02330779863343758
126,RGCCA,Nonlinear,80,Precision,0.6526666666666665,0.12799131915008055
127,RGCCA,Nonlinear,80,Recall,0.060934419600567856,0.011893376390044196
128,RGCCA,Nonlinear,80,FS,0.11144749657528692,0.021721776168129484
129,RGCCA,Nonlinear,80,MCC,-0.009295749415335895,0.06855895855035478
130,SGCCA,Nonlinear,80,Specificity,0.9353616624024045,0.024005177505161856
131,SGCCA,Nonlinear,80,Precision,0.652,0.12878233143132983
132,SGCCA,Nonlinear,80,Recall,0.06152267951155582,0.012133965731969298
133,SGCCA,Nonlinear,80,FS,0.1124246097676341,0.02214741139630063
134,SGCCA,Nonlinear,80,MCC,-0.005964601879933981,0.07031538459139355
135,DGCCA,Nonlinear,80,Specificity,0.868144195657089,0.01943251765105185
