,Methods,Scenario,n,type,Values,std
138,DGCCA,Nonlinear,400,FS,0.006888 ,0.008458 
139,DGCCA,Nonlinear,400,MCC,-0.259547 ,0.028271 
140,KSSHIBA,Nonlinear,400,Specificity,0.949305 ,0.001329 
141,KSSHIBA,Nonlinear,400,Precision,0.665333 ,0.009333 
142,KSSHIBA,Nonlinear,400,Recall,0.049656 ,0.000665 
143,KSSHIBA,Nonlinear,400,FS,0.092415 ,0.001242 
144,KSSHIBA,Nonlinear,400,MCC,-0.002243 ,0.004315 
145,SNGCCA,Nonlinear,400,Specificity,0.994281 ,0.008375 
146,SNGCCA,Nonlinear,400,Precision,0.889333 ,0.115593 
147,SNGCCA,Nonlinear,400,Recall,1.000000 ,0.000000 
148,SNGCCA,Nonlinear,400,FS,0.931665 ,0.163631 
149,SNGCCA,Nonlinear,400,MCC,0.935624 ,0.101118 
