Name,Score
TF|7018,0.06282416111651172
EMID1|129080,-0.03712556962063443
OSR1|130497,0.037091939416640046
GLP1R|2740,0.03688254068266483
KYNU|8942,-0.03684006045834721
PCDHB2|56133,0.03677707819164091
HEPACAM|220296,0.036762270179245854
ZIC4|84107,-0.03675027084538646
TMEM215|401498,0.036726991090355855
NMU|10874,-0.03670900654530081
C14orf180|400258,0.03666486323913599
FAM92B|339145,-0.036554000655559686
WBSCR17|64409,0.03650664004537743
PCDH9|5101,0.03646411096001998
HHIPL2|79802,0.036444793978060365
SCGB2A1|4246,-0.036421741559922324
SLC26A3|1811,0.036403087377797794
HUNK|30811,0.036320383749397465
GCNT3|9245,-0.036254279497080676
MAT1A|4143,-0.03623310555878118
ANKRD1|27063,0.03622786619059346
KRT6A|3853,-0.036071293119266115
SLC5A11|115584,-0.035889343833092974
