Name,Score
OGN|4969,-0.145937112340628
NEK5|341676,0.04244724621937209
LOC642587|642587,0.04231310716523399
FAM19A3|284467,-0.042135030682602506
RLN2|6019,0.04197148620841112
FSIP1|161835,0.04176960652846429
ATP1A2|477,-0.04167346467681625
NCAM2|4685,-0.04163080043341016
RHBDL1|9028,0.04155891874671449
SLC18A2|6571,0.041464973154547946
MPPED2|744,-0.04135167210207473
LOC728606|728606,0.0413501446454071
ICOS|29851,-0.04118271122303471
SEC14L2|23541,-0.041089942108459156
TMEM215|401498,-0.04091215378079231
SUSD3|203328,-0.04085505609697601
SLC1A2|6506,-0.04079578964287477
CR1|1378,0.04054251226093909
ZBED2|79413,0.039664991689279026
LYPD6B|130576,-0.0396502169218517
AQP9|366,0.03949945876864511
TBC1D9|23158,0.03947535478141019
