Name,Score
MLPH|79083,0.05173167587965206
CAPN13|92291,0.03495664501194079
C1QL2|165257,-0.03495396728364508
CHAD|1101,0.034911458596925266
POU4F1|5457,-0.03484555528401619
C9orf152|401546,0.03484515832429499
CPA3|1359,0.034824867383180386
LOC285629|285629,-0.03481311957520938
RSPH1|89765,0.034775595382721874
C1QL4|338761,-0.0347393380616872
SLC16A6|9120,0.034590532160755014
KCNQ4|9132,-0.03454943633067518
GPR156|165829,-0.03454590968851722
SEMA3B|7869,0.034506010736992256
INPP5J|27124,0.03443076137241029
KIF12|113220,0.034420079456285155
IGF2BP2|10644,-0.03435120944440171
KCNH1|3756,0.034348954673189304
C1QTNF7|114905,0.03431978563291949
TMPRSS6|164656,0.03426253944158784
BAIAP2L2|80115,-0.03425469123793098
ROPN1B|152015,-0.0342513705748727
