Methods,Scenario,n,p,s,type,Values,std
SNGCCA,Nonlinear,100,100,5,Precision,0.9566666666666667,0.02383547682668748
SNGCCA,Nonlinear,100,100,5,Recall,0.9566666666666667,0.02383547682668748
SNGCCA,Nonlinear,100,100,5,F1-Score,0.9566666666666667,0.02383547682668748
SNGCCA,Nonlinear,100,100,5,MCC,0.9562105263157893,0.02408637658275787
SNGCCA,Nonlinear,100,100,5,SR,0.88,0.06369246109234593
SNGCCA,Nonlinear,100,100,5,Time,1.7638867896300001,0.009226399693318591
SNGCCA,Nonlinear,100,100,10,Specificity,0.9985555555555555,0.000396211939793042
SNGCCA,Nonlinear,100,100,10,Precision,0.8783333333333333,0.03245528274068458
SNGCCA,Nonlinear,100,100,10,Recall,0.8933333333333334,0.030476441903724772
SNGCCA,Nonlinear,100,100,10,F1-Score,0.8847619047619049,0.031156562354948247
SNGCCA,Nonlinear,100,100,10,MCC,0.8839959308642723,0.03143110220452712
SNGCCA,Nonlinear,100,100,10,SR,0.64,0.09408
SNGCCA,Nonlinear,100,100,10,Time,2.0500517471999995,0.014315719864068013
SNGCCA,Nonlinear,100,100,20,Specificity,0.9982500000000002,0.00046456778000870957
SNGCCA,Nonlinear,100,100,20,Precision,0.8813333333333334,0.030484424117535464
SNGCCA,Nonlinear,100,100,20,Recall,0.93,0.026610804823103962
SNGCCA,Nonlinear,100,100,20,F1-Score,0.9015476190476192,0.02708648268868523
SNGCCA,Nonlinear,100,100,20,MCC,0.9023448239875534,0.027180960276852847
SNGCCA,Nonlinear,100,100,20,SR,0.62,0.09513574302017093
SNGCCA,Nonlinear,100,100,20,Time,2.0595727986799997,0.015248379374903078
