,Methods,Scenario,n,type,Values,std
65,KSSHIBA,Linear,200,Specificity,0.9494949494949496,1.1102230246251565e-16
66,KSSHIBA,Linear,200,Precision,0.6666666666666669,2.220446049250313e-16
67,KSSHIBA,Linear,200,Recall,0.04975124378109453,0.0
68,KSSHIBA,Linear,200,FS,0.09259259259259262,1.3877787807814457e-17
69,KSSHIBA,Linear,200,MCC,-0.0016263258817130546,4.336808689942018e-19
70,SNGCCA,Linear,200,Specificity,0.9999640287769784,0.0003579091500383504
71,SNGCCA,Linear,200,Precision,0.9993333333333334,0.006633249580710799
72,SNGCCA,Linear,200,Recall,0.9625907851178749,0.07020297676060677
73,SNGCCA,Linear,200,FS,0.9792969822073238,0.0411949731223026
74,SNGCCA,Linear,200,MCC,0.979018958516217,0.04122755462957882
75,RGCCA,Nonlinear,200,Specificity,0.9514433524835261,0.017412058603211426
76,RGCCA,Nonlinear,200,Precision,0.6359999999999998,0.12872710152359784
77,RGCCA,Nonlinear,200,Recall,0.05105960408808465,0.01054134475357942
78,RGCCA,Nonlinear,200,FS,0.09452090726859277,0.01946225358297565
79,RGCCA,Nonlinear,200,MCC,0.005694400625697625,0.06202880234911124
80,SGCCA,Nonlinear,200,Specificity,0.9522561991785155,0.016454496201955073
81,SGCCA,Nonlinear,200,Precision,0.6426666666666666,0.12945011909354634
82,SGCCA,Nonlinear,200,Recall,0.0511552804834144,0.009882612909096252
83,SGCCA,Nonlinear,200,FS,0.09475877715297873,0.018343736655231615
84,SGCCA,Nonlinear,200,MCC,0.007420959644974721,0.05840385690992375
85,DGCCA,Nonlinear,200,Specificity,0.8813091321410655,0.008702240542972287
86,DGCCA,Nonlinear,200,Precision,0.057333333333333326,0.05579326920775381
87,DGCCA,Nonlinear,200,Recall,0.004731297620031582,0.004569259307094319
88,DGCCA,Nonlinear,200,FS,0.008740078740447441,0.008444257053276645
89,DGCCA,Nonlinear,200,MCC,-0.2555565101539958,0.026494808257371934
90,KSSHIBA,Nonlinear,200,Specificity,0.920086031102918,0.0005262498135552077
91,KSSHIBA,Nonlinear,200,Precision,0.3333333333333334,1.1102230246251565e-16
92,KSSHIBA,Nonlinear,200,Recall,0.028594940844828515,0.00013500207974498647
93,KSSHIBA,Nonlinear,200,FS,0.05267138364125071,0.00022900908225163382
94,KSSHIBA,Nonlinear,200,MCC,-0.1161024817630619,0.0013876352594581478
