Name,Score
CCL28|56477,0.11256402838956948
AK5|26289,0.03914904429147019
CD79A|973,-0.039113226554913345
IGFALS|3483,0.038986778692706094
FOLR1|2348,-0.038974058338517005
MYBL2|4605,0.03877665711191414
STAB2|55576,0.03870510101024251
SLC34A2|10568,-0.03870162580641408
PHGR1|644844,-0.03856380166168531
TNFRSF17|608,-0.038419786710424966
CLEC17A|388512,0.038339970260246714
VSTM2L|128434,-0.038335314602508816
CYP2A6|1548,-0.038175105587285256
IL1RL1|9173,0.03815895281622085
ODZ2|57451,0.03811421193846402
IGF1|3479,0.03811313762837791
KIAA1210|57481,-0.03808736522241994
GPD1|2819,0.03803486550055896
CYP4Z1|199974,0.0379448301852962
GRIK3|2899,-0.03789784301466167
FLJ16779|100192386,0.0378168541219828
TMEM45B|120224,0.03769098086821943
