,u1_0
391,3.888282901165496e-05
392,3.4356751413611164e-05
393,1.56731308642577e-06
394,1.7139337451510528e-05
395,1.592482036549825e-05
396,2.5723777596908803e-07
397,4.426991012174142e-05
398,6.141432293738092e-05
399,-4.955487632685163e-06
400,-6.34050586771906e-05
401,-8.2234494508171e-05
402,-0.00011785696811372759
403,-2.1391085867961124e-05
404,-2.4448964699885778e-05
405,4.884263454130178e-06
406,0.00012761585655063357
407,0.0003879820823353697
408,-6.864952339924457e-07
409,2.4786603347592973e-06
410,-7.065085407376159e-06
411,-1.7194114152019324e-05
412,9.671547142353631e-05
413,-4.4177578947923735e-05
414,-1.5176197761590515e-05
415,-7.962878777867388e-05
416,-4.300711100135857e-05
417,-1.8260057023766763e-05
418,-7.4433416177299705e-06
419,1.6500244498729444e-05
420,-0.00011072499935771418
421,1.827670543974591e-05
422,-5.668069959696709e-05
423,0.00012242743065549178
424,-1.4368483055804404e-05
425,-5.114647651538462e-05
426,-9.561690074022522e-05
427,-5.884710860293296e-05
428,-0.00010901413462960363
429,-9.621302475260052e-05
430,6.555265486518635e-05
431,8.731387142368874e-05
432,-6.798747756597834e-05
433,-0.00014597830338125561
434,-0.00015172435273669294
435,-7.38946587173217e-05
436,-0.00011035712167384304
437,-9.847549438646297e-05
438,-3.45555280549803e-05
439,-0.0001348142146539999
440,-7.932988558323473e-05
441,-0.00013906104437744204
442,-9.94722772187373e-05
443,0.000123836400849342
444,5.3034739778468065e-05
445,1.4233966199483916e-05
446,0.00010429027623715115
447,1.516810339730057e-05
448,-5.526716745229976e-05
449,-1.1394461743918782e-05
450,-0.00010595456173767559
451,5.580870448440578e-06
452,8.632187579316053e-05
453,0.00011955203364166778
454,2.042369636967578e-06
455,0.00014462726233155365
456,1.2954498807005166e-07
457,8.393998136035918e-05
458,-0.0001565872857387518
459,-1.4967014147160285e-05
460,1.0673516689152507e-05
461,8.69607037579101e-06
462,1.959695108411097e-06
463,-1.932667688464562e-05
464,0.00016759349529671397
465,2.4905917760165153e-05
466,2.974511430764437e-05
467,-2.683828879845862e-05
468,3.141051684352192e-05
469,6.224936342924536e-05
470,-4.904131992944372e-06
471,0.0001410714815470726
472,4.6327213016894575e-06
473,6.36818687969054e-05
474,2.0630315651359865e-05
475,1.5554120968985785e-05
476,-0.00015282582239528608
477,7.586596329467454e-05
478,-1.911139058563549e-06
479,1.2952112069086752e-05
480,6.372699271572912e-05
481,-6.537216072999286e-05
482,-4.3650233610748046e-05
483,-4.473163832230398e-05
484,0.00033340663431324913
485,-2.9130769124918743e-05
486,-3.138387950762933e-05
487,-2.5314956950239775e-05
488,2.442412443848241e-05
489,-8.725994733893572e-06
490,6.339945525013491e-06
491,-1.9654508509603374e-06
492,-2.701950258732211e-05
