Name,Score
A2ML1|144568,5.927082961422202e-05
BAMBI|25805,9.597562433213158e-05
BCAN|63827,2.4250510227154363e-05
BCHE|590,7.31375616108288e-05
BCL11A|53335,0.0001235184285450554
BEND7|222389,8.778360112482858e-05
BEST3|144453,7.898695387279673e-05
BEX1|55859,5.29193957453284e-05
BMP5|653,2.0486698908712867e-06
BMPER|168667,2.5214619409683205e-05
BMX|660,2.5672744449816558e-05
BNIPL|149428,1.994224403426858e-05
BPI|671,7.593476435600871e-05
BRSK2|9024,3.221732471882138e-05
C10orf107|219621,6.79054073407045e-05
C10orf90|118611,1.3842549157977253e-05
C11orf93|120376,4.4247110436545866e-05
C13orf38|728591,4.5535667492690566e-05
C14orf162|56936,4.776609439964461e-05
C16orf89|146556,8.154246249894942e-05
C18orf34|374864,6.953162117755489e-05
C19orf59|199675,7.211454700276495e-05
C1QL2|165257,2.001765333255104e-05
C1QL3|389941,7.846007996356304e-06
C1orf130|400746,5.9426815280474455e-05
C1orf161|126868,5.503975913304712e-05
C1orf194|127003,6.062434835166093e-05
C1orf61|10485,3.7368116789801414e-05
C21orf128|150147,2.503506187697089e-05
C21orf88|114041,4.380740594943285e-05
C22orf41|644186,1.693027099396246e-05
C2CD4A|145741,9.330214884314004e-05
C2orf14|100132708,1.8482386932213284e-05
C2orf39|92749,2.4543406331876422e-05
C2orf40|84417,0.00011090143533235613
C2orf50|130813,4.8052360665266593e-05
C2orf65|130951,3.384420404891992e-05
C2orf82|389084,1.1930182696275235e-05
C3orf15|89876,7.19778342129909e-06
C3orf55|152078,7.209924620377669e-05
C4BPB|725,2.2897214084042592e-05
C4orf19|55286,3.0263769540940626e-05
C4orf7|260436,0.0001010118213070959
C5orf20|140947,2.2468094001331474e-05
C5orf27|202299,7.452705549050727e-06
C5orf38|153571,2.0058379767922825e-05
C5orf49|134121,2.321245790073123e-05
C6orf126|389383,9.161936069738467e-05
C6orf127|340204,0.00012013233186331403
C6orf176|90632,3.647461622628662e-05
C7|730,6.384597223126662e-06
C8orf47|203111,6.524469164246067e-05
C8orf85|441376,2.1191078661537717e-05
C8orf86|389649,7.561457699385133e-06
C9orf122|158228,0.00016243160907723666
C9orf169|375791,1.0305616165352916e-06
CA3|761,8.447818332238573e-05
CA4|762,2.321316015192887e-07
CABP4|57010,5.068930548255661e-07
CACNA1B|774,0.0001286746221461565
CACNA1I|8911,8.492487033269269e-05
CACNA2D1|781,5.185445648335532e-05
CACNG1|786,2.3212487559161803e-05
CACNG6|59285,4.8761617632927634e-05
CADM2|253559,2.928696295887908e-05
CADM3|57863,3.137058811573294e-05
CALML5|51806,2.288855685649889e-06
CAMKV|79012,4.0297037491446204e-05
CAPN6|827,8.608016657001772e-05
CASP14|23581,7.549908481780514e-05
CASQ2|845,3.2200574078145455e-06
CATSPERB|79820,9.999734069466023e-05
CBFA2T3|863,2.0147157506745977e-05
CBX2|84733,5.850767319621653e-05
CCBP2|1238,8.70473624541484e-05
CCDC129|223075,9.6801251961785e-06
CCDC144B|284047,6.7294998381677e-06
CCDC153|283152,3.01918259345951e-05
CCDC67|159989,2.2312724453947687e-05
CCDC68|80323,7.998374955618486e-05
CCDC74B|91409,1.4006066993763668e-05
CCKBR|887,7.531320306959444e-05
CCL13|6357,4.0791717715786436e-05
CCL14|6358,1.0402194367392217e-06
CCL17|6361,0.00010393428074425319
CCL18|6362,1.033857971929286e-05
CCL20|6364,9.255229000666582e-05
CCNA1|8900,2.3021327838065337e-06
CCNI2|645121,5.7166606462763006e-05
CCR2|729230,0.00012076305055770328
CCR4|1233,1.7307071349337902e-05
CCR7|1236,8.512244422170206e-06
CD163L1|283316,0.0001029269413292354
