Name,Score
LRRC16B|90668,0.06832948072318436
KRT79|338785,-0.036920304891013805
CCDC108|255101,0.036909181130400565
NLGN1|22871,-0.036708835853303284
CXXC4|80319,0.03667127314747968
VGLL1|51442,0.036521351380376856
S100A7A|338324,0.036388600655594
WNT7B|7477,-0.036344361354679826
EPHX3|79852,-0.0362474045783265
L3MBTL4|91133,0.03616171025234407
CNTN2|6900,0.03615115350757296
OBP2A|29991,0.03605041462260906
LEFTY2|7044,-0.03602774605955903
KIAA1239|57495,-0.03601527164517049
CD164L2|388611,0.03601142513443556
RASGEF1C|255426,0.03599614826870915
IDO1|3620,-0.03592338011972374
PCSK2|5126,0.03591824857329766
SLC16A12|387700,-0.03588164517050949
ST8SIA1|6489,0.035742058199809454
CYP4Z2P|163720,-0.035697103397599635
CTSE|1510,-0.035627670369327936
